Name,Age,Hometown,Occupation,Outcome,Place,Ref
Vanessa Grimaldi[9],29,"Montreal, Quebec",Special Education Teacher,Winner,1,[10]
Raven Gates[11][12],25,"Hoxie, Arkansas",Fashion Boutique Owner,Runner-Up,2,
Rachel Lindsay[11],31,"Dallas, Texas",Attorney,Week 9,3,[13]
Corinne Olympios[11][14],24,"Miami, Florida",Business Owner,Week 8,4,[15]
Kristina Schulman[16],24,"Lexington, Kentucky",Dental Hygienist,Week 7,5,[17]
Danielle Maltby[18],31,"Colgate, Wisconsin",Neonatal Nurse,6,,
Danielle Lombard[12][19],27,"Danville, California",Small Business Owner,Week 6,7,[20]
Whitney Fransway[21],25,"Chanhassen, Minnesota",Pilates Instructor,8,,
Jasmine Goode[22],29,"Maplewood, New Jersey",Pro Basketball Dancer,9,,
Alexis Waters[11][23],23,"Secaucus, New Jersey",Aspiring Dolphin Trainer,Week 5,10–12,
Jaimi King[24],28,"New Orleans, Louisiana",Chef,,,
Josephine Tutman[22],24,"Santa Cruz, California",Registered Nurse,,,
Taylor Nolan[25],23,"Seattle, Washington",Mental Health Counselor,13,[26],
Astrid Loch[27],26,"Tampa, Florida",Plastic Surgery Office Manager,Week 4,14–15,
Sarah Vendal[19],26,"Palmdale, California",Grade School Teacher,,,
Brittany Farrar[19],26,"Santa Monica, California",Travel Nurse,Week 3,16–17,[28]
Christen Whitney[29][30],25,"Martinsville, Indiana",Wedding Videographer,,,
Dominique Alexis[19],25,"Los Angeles, California",Restaurant Server,18,[31],
Elizabeth Whitelaw[32],24,"New Trier, Illinois",Marketing Manager,Week 2,19–21,
Hailey Merkt[33],23,"Vancouver, British Columbia",Photographer,,,
Lacey Mark[34],25,"Montville, New Jersey",Digital Marketing Manager,,,
"Elizabeth ""Liz"" Sandoz[11]",29,"Scottsbluff, Nebraska",Doula,22,[35],
Angela Amezcua[36],26,"Cumberland, Maryland",Model,Week 1,23–30,[37]
Briana Guertler[38],28,"Salt Lake City, Utah",Surgical Unit Nurse,,,
Ida Marie DeLosSantos[39],23,"Harlingen, Texas",Sales Manager,,,
Jasmine Brown[40],25,"Tacoma, Washington",Flight Attendant,,,
Lauren Hussey[41],30,"Naples, Florida",Law School Graduate,,,
Michelle Ramkissoon[19][12],24,"Silver Spring, Maryland",Food Truck Owner,,,
Olivia Burnette[42],25,"Anchorage, Alaska",Apparel Sales Representative,,,
Susannah Milan[43],26,"Jamul, California",Account Manager,,,
